Source,Destination,Protocol,Length,Info
192.168.1.69,66.22.238.147,UDP,1095,50568  >  50009 Len=1053
192.168.1.69,66.22.238.147,UDP,1095,50568  >  50009 Len=1053
192.168.1.69,66.22.238.147,UDP,1095,50568  >  50009 Len=1053
192.168.1.69,66.22.238.147,UDP,1095,50568  >  50009 Len=1053
192.168.1.69,66.22.238.147,RTCP,102,Sender Report   
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1072,50568  >  50009 Len=1030
192.168.1.69,66.22.238.147,UDP,1072,50568  >  50009 Len=1030
192.168.1.69,66.22.238.147,UDP,1072,50568  >  50009 Len=1030
192.168.1.69,66.22.238.147,UDP,1072,50568  >  50009 Len=1030
192.168.1.69,66.22.238.147,UDP,1073,50568  >  50009 Len=1031
192.168.1.69,66.22.238.147,UDP,1073,50568  >  50009 Len=1031
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1130,50568  >  50009 Len=1088
192.168.1.69,66.22.238.147,UDP,1130,50568  >  50009 Len=1088
192.168.1.69,66.22.238.147,UDP,1130,50568  >  50009 Len=1088
192.168.1.69,66.22.238.147,UDP,1131,50568  >  50009 Len=1089
192.168.1.69,66.22.238.147,UDP,1131,50568  >  50009 Len=1089
192.168.1.69,66.22.238.147,UDP,1131,50568  >  50009 Len=1089
192.168.1.69,66.22.238.147,UDP,50,50568  >  50009 Len=8
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1212,50568  >  50009 Len=1170
192.168.1.69,66.22.238.147,UDP,1212,50568  >  50009 Len=1170
192.168.1.69,66.22.238.147,UDP,1213,50568  >  50009 Len=1171
192.168.1.69,66.22.238.147,UDP,1213,50568  >  50009 Len=1171
192.168.1.69,66.22.238.147,UDP,1213,50568  >  50009 Len=1171
192.168.1.69,66.22.238.147,UDP,1213,50568  >  50009 Len=1171
192.168.1.69,142.251.209.14,UDP,82,63972  >  443 Len=40
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1166,50568  >  50009 Len=1124
192.168.1.69,66.22.238.147,UDP,1167,50568  >  50009 Len=1125
192.168.1.69,66.22.238.147,UDP,1167,50568  >  50009 Len=1125
192.168.1.69,66.22.238.147,UDP,1167,50568  >  50009 Len=1125
192.168.1.69,66.22.238.147,UDP,1167,50568  >  50009 Len=1125
192.168.1.69,66.22.238.147,UDP,1167,50568  >  50009 Len=1125
192.168.1.69,66.22.238.147,UDP,1167,50568  >  50009 Len=1125
192.168.1.69,142.251.209.14,UDP,76,63972  >  443 Len=34
192.168.1.69,66.22.238.147,RTCP,102,Sender Report   
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1174,50568  >  50009 Len=1132
192.168.1.69,66.22.238.147,UDP,1174,50568  >  50009 Len=1132
192.168.1.69,66.22.238.147,UDP,1174,50568  >  50009 Len=1132
192.168.1.69,66.22.238.147,UDP,1174,50568  >  50009 Len=1132
192.168.1.69,66.22.238.147,UDP,1174,50568  >  50009 Len=1132
192.168.1.69,66.22.238.147,UDP,1175,50568  >  50009 Len=1133
192.168.1.69,66.22.238.147,UDP,1175,50568  >  50009 Len=1133
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1104,50568  >  50009 Len=1062
192.168.1.69,66.22.238.147,UDP,1104,50568  >  50009 Len=1062
192.168.1.69,66.22.238.147,UDP,1104,50568  >  50009 Len=1062
192.168.1.69,66.22.238.147,UDP,1104,50568  >  50009 Len=1062
192.168.1.69,66.22.238.147,UDP,1104,50568  >  50009 Len=1062
192.168.1.69,66.22.238.147,UDP,1104,50568  >  50009 Len=1062
192.168.1.69,66.22.238.147,UDP,1104,50568  >  50009 Len=1062
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1248,50568  >  50009 Len=1206
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,RTCP,118,Sender Report   
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1135,50568  >  50009 Len=1093
192.168.1.69,66.22.238.147,UDP,1135,50568  >  50009 Len=1093
192.168.1.69,66.22.238.147,UDP,1135,50568  >  50009 Len=1093
192.168.1.69,66.22.238.147,UDP,1135,50568  >  50009 Len=1093
192.168.1.69,66.22.238.147,UDP,1135,50568  >  50009 Len=1093
192.168.1.69,66.22.238.147,UDP,1135,50568  >  50009 Len=1093
192.168.1.69,66.22.238.147,UDP,1135,50568  >  50009 Len=1093
192.168.1.69,66.22.238.147,UDP,1135,50568  >  50009 Len=1093
192.168.1.69,66.22.238.147,UDP,1136,50568  >  50009 Len=1094
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1242,50568  >  50009 Len=1200
192.168.1.69,66.22.238.147,UDP,1242,50568  >  50009 Len=1200
192.168.1.69,66.22.238.147,UDP,1243,50568  >  50009 Len=1201
192.168.1.69,66.22.238.147,UDP,1243,50568  >  50009 Len=1201
192.168.1.69,66.22.238.147,UDP,1243,50568  >  50009 Len=1201
192.168.1.69,66.22.238.147,UDP,1243,50568  >  50009 Len=1201
192.168.1.69,66.22.238.147,UDP,1243,50568  >  50009 Len=1201
192.168.1.69,66.22.238.147,UDP,1243,50568  >  50009 Len=1201
192.168.1.69,66.22.238.147,UDP,1243,50568  >  50009 Len=1201
192.168.1.69,66.22.238.147,UDP,1243,50568  >  50009 Len=1201
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1180,50568  >  50009 Len=1138
192.168.1.69,66.22.238.147,UDP,1180,50568  >  50009 Len=1138
192.168.1.69,66.22.238.147,UDP,1180,50568  >  50009 Len=1138
192.168.1.69,66.22.238.147,UDP,1180,50568  >  50009 Len=1138
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1181,50568  >  50009 Len=1139
192.168.1.69,66.22.238.147,UDP,1182,50568  >  50009 Len=1140
192.168.1.69,66.22.238.147,UDP,1182,50568  >  50009 Len=1140
192.168.1.69,162.159.130.234,TCP,54,63850  >  443 [ACK] Seq=1 Ack=216 Win=513 Len=0
192.168.1.69,66.22.238.147,UDP,1182,50568  >  50009 Len=1140
192.168.1.69,66.22.238.147,UDP,1182,50568  >  50009 Len=1140
192.168.1.69,66.22.238.147,UDP,1182,50568  >  50009 Len=1140
192.168.1.69,66.22.238.147,UDP,1182,50568  >  50009 Len=1140
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1199,50568  >  50009 Len=1157
192.168.1.69,66.22.238.147,UDP,1200,50568  >  50009 Len=1158
192.168.1.69,66.22.238.147,UDP,1200,50568  >  50009 Len=1158
192.168.1.69,66.22.238.147,UDP,1200,50568  >  50009 Len=1158
192.168.1.69,66.22.238.147,UDP,1200,50568  >  50009 Len=1158
192.168.1.69,66.22.238.147,UDP,1200,50568  >  50009 Len=1158
192.168.1.69,66.22.238.147,UDP,1200,50568  >  50009 Len=1158
192.168.1.69,66.22.238.147,UDP,1200,50568  >  50009 Len=1158
192.168.1.69,66.22.238.147,UDP,1200,50568  >  50009 Len=1158
192.168.1.69,66.22.238.147,UDP,1200,50568  >  50009 Len=1158
192.168.1.69,66.22.238.147,UDP,1200,50568  >  50009 Len=1158
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1169,50568  >  50009 Len=1127
192.168.1.69,66.22.238.147,UDP,1169,50568  >  50009 Len=1127
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,1170,50568  >  50009 Len=1128
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1249,50568  >  50009 Len=1207
192.168.1.69,66.22.238.147,UDP,1250,50568  >  50009 Len=1208
192.168.1.69,66.22.238.147,UDP,1250,50568  >  50009 Len=1208
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,RTCP,102,Sender Report   
192.168.1.69,52.184.213.187,TCP,54,59958  >  443 [FIN, ACK] Seq=1 Ack=1 Win=514 Len=0
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1198,50568  >  50009 Len=1156
192.168.1.69,66.22.238.147,UDP,1198,50568  >  50009 Len=1156
192.168.1.69,66.22.238.147,UDP,1198,50568  >  50009 Len=1156
192.168.1.69,66.22.238.147,UDP,1198,50568  >  50009 Len=1156
192.168.1.69,66.22.238.147,UDP,1198,50568  >  50009 Len=1156
192.168.1.69,66.22.238.147,UDP,1199,50568  >  50009 Len=1157
192.168.1.69,66.22.238.147,UDP,1199,50568  >  50009 Len=1157
192.168.1.69,66.22.238.147,UDP,1199,50568  >  50009 Len=1157
192.168.1.69,66.22.238.147,UDP,1199,50568  >  50009 Len=1157
192.168.1.69,66.22.238.147,UDP,1199,50568  >  50009 Len=1157
192.168.1.69,66.22.238.147,UDP,1199,50568  >  50009 Len=1157
192.168.1.69,66.22.238.147,UDP,1199,50568  >  50009 Len=1157
192.168.1.69,66.22.238.147,UDP,1199,50568  >  50009 Len=1157
192.168.1.69,66.22.238.147,UDP,1199,50568  >  50009 Len=1157
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1178,50568  >  50009 Len=1136
192.168.1.69,66.22.238.147,UDP,1178,50568  >  50009 Len=1136
192.168.1.69,66.22.238.147,UDP,1178,50568  >  50009 Len=1136
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,1179,50568  >  50009 Len=1137
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1127,50568  >  50009 Len=1085
192.168.1.69,66.22.238.147,UDP,1127,50568  >  50009 Len=1085
192.168.1.69,66.22.238.147,UDP,1127,50568  >  50009 Len=1085
192.168.1.69,66.22.238.147,UDP,1127,50568  >  50009 Len=1085
192.168.1.69,66.22.238.147,UDP,1128,50568  >  50009 Len=1086
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1114,50568  >  50009 Len=1072
192.168.1.69,66.22.238.147,UDP,1114,50568  >  50009 Len=1072
192.168.1.69,66.22.238.147,UDP,1114,50568  >  50009 Len=1072
192.168.1.69,66.22.238.147,UDP,1114,50568  >  50009 Len=1072
192.168.1.69,66.22.238.147,UDP,1114,50568  >  50009 Len=1072
192.168.1.69,66.22.238.147,UDP,1114,50568  >  50009 Len=1072
192.168.1.69,66.22.238.147,UDP,1114,50568  >  50009 Len=1072
192.168.1.69,52.184.213.187,TCP,54,59958  >  443 [ACK] Seq=2 Ack=2 Win=514 Len=0
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1250,50568  >  50009 Len=1208
192.168.1.69,66.22.238.147,UDP,1250,50568  >  50009 Len=1208
192.168.1.69,66.22.238.147,UDP,1251,50568  >  50009 Len=1209
192.168.1.69,66.22.238.147,UDP,1251,50568  >  50009 Len=1209
192.168.1.69,66.22.238.147,UDP,1251,50568  >  50009 Len=1209
192.168.1.69,66.22.238.147,UDP,1251,50568  >  50009 Len=1209
192.168.1.69,66.22.238.147,UDP,1251,50568  >  50009 Len=1209
192.168.1.69,66.22.238.147,UDP,1251,50568  >  50009 Len=1209
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1252,50568  >  50009 Len=1210
192.168.1.69,66.22.238.147,UDP,1252,50568  >  50009 Len=1210
192.168.1.69,66.22.238.147,UDP,1252,50568  >  50009 Len=1210
192.168.1.69,66.22.238.147,UDP,1252,50568  >  50009 Len=1210
192.168.1.69,66.22.238.147,UDP,1252,50568  >  50009 Len=1210
192.168.1.69,66.22.238.147,UDP,1252,50568  >  50009 Len=1210
192.168.1.69,66.22.238.147,UDP,1252,50568  >  50009 Len=1210
192.168.1.69,66.22.238.147,UDP,1253,50568  >  50009 Len=1211
192.168.1.69,66.22.238.147,UDP,1253,50568  >  50009 Len=1211
192.168.1.69,66.22.238.147,UDP,1253,50568  >  50009 Len=1211
192.168.1.69,66.22.238.147,UDP,1253,50568  >  50009 Len=1211
192.168.1.69,66.22.238.147,UDP,1253,50568  >  50009 Len=1211
192.168.1.69,66.22.238.147,UDP,1253,50568  >  50009 Len=1211
192.168.1.69,66.22.238.147,UDP,1253,50568  >  50009 Len=1211
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1219,50568  >  50009 Len=1177
192.168.1.69,66.22.238.147,UDP,1219,50568  >  50009 Len=1177
192.168.1.69,66.22.238.147,UDP,1220,50568  >  50009 Len=1178
192.168.1.69,66.22.238.147,UDP,1220,50568  >  50009 Len=1178
192.168.1.69,66.22.238.147,UDP,1220,50568  >  50009 Len=1178
192.168.1.69,66.22.238.147,UDP,1220,50568  >  50009 Len=1178
192.168.1.69,66.22.238.147,UDP,1220,50568  >  50009 Len=1178
192.168.1.69,66.22.238.147,UDP,1220,50568  >  50009 Len=1178
192.168.1.69,66.22.238.147,UDP,1220,50568  >  50009 Len=1178
192.168.1.69,66.22.238.147,UDP,1220,50568  >  50009 Len=1178
192.168.1.69,66.22.238.147,RTCP,118,Sender Report   
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1243,50568  >  50009 Len=1201
192.168.1.69,66.22.238.147,UDP,1244,50568  >  50009 Len=1202
192.168.1.69,66.22.238.147,UDP,1244,50568  >  50009 Len=1202
192.168.1.69,66.22.238.147,UDP,1244,50568  >  50009 Len=1202
192.168.1.69,66.22.238.147,UDP,1244,50568  >  50009 Len=1202
192.168.1.69,66.22.238.147,UDP,1244,50568  >  50009 Len=1202
192.168.1.69,66.22.238.147,UDP,1244,50568  >  50009 Len=1202
192.168.1.69,66.22.238.147,UDP,1244,50568  >  50009 Len=1202
192.168.1.69,66.22.238.147,UDP,1244,50568  >  50009 Len=1202
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,314,50568  >  50009 Len=272
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1148,50568  >  50009 Len=1106
192.168.1.69,66.22.238.147,UDP,1148,50568  >  50009 Len=1106
192.168.1.69,66.22.238.147,UDP,1148,50568  >  50009 Len=1106
192.168.1.69,66.22.238.147,UDP,1148,50568  >  50009 Len=1106
192.168.1.69,66.22.238.147,UDP,1149,50568  >  50009 Len=1107
192.168.1.69,66.22.238.147,UDP,1149,50568  >  50009 Len=1107
192.168.1.69,66.22.238.147,UDP,1149,50568  >  50009 Len=1107
192.168.1.69,66.22.238.147,UDP,1149,50568  >  50009 Len=1107
192.168.1.69,66.22.238.147,UDP,1149,50568  >  50009 Len=1107
192.168.1.69,66.22.238.147,UDP,1149,50568  >  50009 Len=1107
192.168.1.69,66.22.238.147,UDP,1151,50568  >  50009 Len=1109
192.168.1.69,66.22.238.147,UDP,1151,50568  >  50009 Len=1109
192.168.1.69,66.22.238.147,UDP,1151,50568  >  50009 Len=1109
192.168.1.69,66.22.238.147,UDP,1151,50568  >  50009 Len=1109
192.168.1.69,66.22.238.147,UDP,1151,50568  >  50009 Len=1109
192.168.1.69,66.22.238.147,UDP,1151,50568  >  50009 Len=1109
192.168.1.69,66.22.238.147,UDP,1150,50568  >  50009 Len=1108
192.168.1.69,66.22.238.147,UDP,1150,50568  >  50009 Len=1108
192.168.1.69,66.22.238.147,RTCP,102,Sender Report   
192.168.1.69,162.159.135.232,TLSv1.2,476,Application Data
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1256,50568  >  50009 Len=1214
192.168.1.69,66.22.238.147,UDP,1256,50568  >  50009 Len=1214
192.168.1.69,66.22.238.147,UDP,1256,50568  >  50009 Len=1214
192.168.1.69,66.22.238.147,UDP,1256,50568  >  50009 Len=1214
192.168.1.69,66.22.238.147,UDP,1256,50568  >  50009 Len=1214
192.168.1.69,66.22.238.147,UDP,1256,50568  >  50009 Len=1214
192.168.1.69,66.22.238.147,UDP,1256,50568  >  50009 Len=1214
192.168.1.69,66.22.238.147,UDP,1256,50568  >  50009 Len=1214
192.168.1.69,66.22.238.147,UDP,1256,50568  >  50009 Len=1214
192.168.1.69,66.22.238.147,UDP,1256,50568  >  50009 Len=1214
192.168.1.69,66.22.238.147,UDP,1256,50568  >  50009 Len=1214
192.168.1.69,66.22.238.147,UDP,92,50568  >  50009 Len=50
192.168.1.69,66.22.238.147,UDP,1235,50568  >  50009 Len=1193
